algo; instSize; corrInst; HV; time; alpha;
FRRMAB_DK; 2000; pos02; 1807860291642.000000; 654.061799; 0.500000;
FRRMAB_DK; 2000; pos02; 1924428869478.000000; 648.050803; 0.600000;
FRRMAB_DK; 2000; pos02; 1911824228288.000000; 655.784262; 0.700000;
FRRMAB_DK; 2000; pos02; 1143780017527.000000; 650.844022; 0.800000;
FRRMAB_DK; 2000; pos02; 1755094287434.000000; 651.520416; 0.900000;
FRRMAB_DK; 2000; pos05; 2257830475890.000000; 654.102745; 0.100000;
FRRMAB_DK; 2000; pos05; 2133864273479.000000; 645.556967; 0.200000;
FRRMAB_DK; 2000; pos05; 2209880413993.000000; 644.729204; 0.300000;
FRRMAB_DK; 2000; pos05; 2332748710127.000000; 639.108223; 0.400000;
FRRMAB_DK; 2000; pos05; 2457618064993.000000; 647.690081; 0.500000;
FRRMAB_DK; 2000; pos05; 2195923902177.000000; 650.928780; 0.600000;
FRRMAB_DK; 2000; pos05; 2219403174312.000000; 641.088473; 0.700000;
FRRMAB_DK; 2000; pos05; 2266127827191.000000; 650.158547; 0.800000;
FRRMAB_DK; 2000; pos05; 2200826335940.000000; 650.498160; 0.900000;
